Titles,Multiplayer,Year Released,Developers,Publishers,Region Released,Plot,Gameplay
Power Rangers Wild Force,,2002,Natsume,THQ,,"The series follows the adventure of Cole Evans, who had been staying with a tribe in a jungle for many years, as he tries to find his destiny in the town of Turtle Cove. He encounters the Animarium, an island shaped like a turtle floating in the sky, which many believed to exist only in fairy tales, and is the home of the Wild Zords, and the Rangers' mentor, Princess Shayla. He joins four other Rangers and becomes the new leader of the Wild Force Power Rangers.
The Power Rangers use their powers to defeat the forces of the Orgs, led by one Master Org. As Cole was fond of other animals, he was shocked to discover that the Orgs were literally heartless horned monsters. As the series continues, he finds out the truth about his real parents, Richard and Elizabeth Evans, who were professors at Turtle Cove University, along with a family friend, Dr. Viktor Adler, who was secretly in love with Elizabeth. When they were sent to the jungle for research, they discover the remains of Master Org, in which a jealous Adler consumes in order to exact revenge on Richard, who had proposed to Elizabeth before he could. However, Adler goes insane, and kills both Richard and Elizabeth. For a while, their newborn son, Cole, was also presumed dead.
In addition to the annual team-up episodes, Power Rangers Wild Force also had a special episode commemorating it as the tenth incarnation, Forever Red, by having Cole team up with the nine Red Rangers before him (Jason Lee Scott, Aurico, Tommy Oliver, T.J. Johnson, Andros, Leo Corbett, Carter Grayson, Wes Collins and Eric Myers) to prevent the remaining generals of the Machine Empire from unearthing and reactivating Lord Zedd's Zord, Serpentera, which had been left buried on the moon.
The Animarium reappeared during Power Rangers Super Megaforce in ""A Lion's Alliance"".
",NaN
The Powerpuff Girls: Him and Seek,,2002,Vicarious Visions,Bam Entertainment,"NA, PAL",NaN,NaN
The Powerpuff Girls: Mojo Jojo A-Go-Go,,2001,Sennari Interactive,Bam Entertainment,"NA, PAL",NaN,NaN
Prehistorik Man,No,2001,Titus Software,Titus Software,"NA, PAL","Prehistorik Man, like its predecessor, takes place in the Stone Age. In the middle of the night, greedy dinosaurs steal all the food from a small village. With winter coming and the village inhabitants facing starvation, the Village Chief summons Sam, a young and agile villager, and tasks him with obtaining food to help the village survive the impending winter.[2]
","The player controls Sam by navigating him through a total of 23 side-scrolling levels. The main task is for the player to collect all the food in each level while defeating enemies to make them drop their bones, which is used as currency in the game. The player starts out with three hearts. If the player loses them all, they lose a life and must restart the level. Midway through each level, there is a checkpoint (called a Rees-Tartah) so Sam will not have to start at the beginning once touched. Sam has many abilities to help the player through each level including running ""like a dog"" to move faster, and the shout which enables the player to defeat all enemies on screen. Sam's default weapon is a spiked club but he can find other weapons like spears and axes which will replace any weapon used before, however, these weapons have limited ammo. Throughout the game, various items can be found varying from ""stone age shields"", which make the player temporarily invincible, heart containers to permanently raise the player's health, and letters which spell out B-O-N-U-S, which when all are collected, send the player to a bonus area for a chance to collect more bones and food. Shops are also available for the player to spend bones to buy various items which the player can use to skip levels or even save their game. At the end of each level, the food is tallied up and the player is given an overall percentage on how well they did. Certain levels have different gameplay gimmicks which the player must learn in order to proceed. The majority of levels are simple platformers but other levels involve the player finding specific key items, limit a player to using a vehicle, or defeating a boss.
In the DSiware version, the player can control Sam by using the touchpad on the bottom screen and Sam's power can increase by collecting upgrades that can last for a limited time. The bottom screen also has an item section to let players know what items they must collect to proceed through the game.
"
Premier Action SoccerPAL|Anstoss ActionGER,,2006,Independent Arts,East Entertainment Media,PAL,NaN,NaN
Premier Manager 2003-04,,2003,,Zoo Digital Publishing,PAL,NaN,NaN
Premier Manager 2004/2005,,2004,,Zoo Digital Publishing,PAL,NaN,NaN
Premier Manager 2005/2006,,2005,Zoo Digital Publishing,Zoo Digital Publishing,PAL,NaN,NaN
Prince of Persia: The Sands of Time,No,2003,Ubisoft Montreal,Ubisoft,"NA, PAL",NaN,"Prince of Persia: The Sands of Time is an action-adventure puzzle-platformer. The player controls the main protagonist, an unnamed Prince from a kingdom in Persia. Environments are seen through a controllable third-person view. The camera's view changes to different positions triggered by entering certain areas or performing actions.[2][3] The Prince can be moved in all directions, and he is able to manipulate large objects such as blocks and levers connected to mechanisms. His health and power metre are represented in the top left-hand corner of the screen. The Prince restores health by drinking water from pools and fountains. Collecting Sands increases the Prince's power, and drinking from hidden magic fountains increases the Prince's maximum health.[2][4] During several points in the game, the Prince is assisted by his companion Farah, who fires a bow at enemies, though her arrows can also hit the Prince if he strays into her line of fire. Monsters will attack her, and if she is killed, the game ends.[2][5]
During exploration, the Prince navigates areas filled with traps: these traps include spike pits, arrow traps, wall-mounted blades and saws, and spinning spiked stakes. The Prince's main contextual move is wall-running, an action where he runs up onto and along a wall for a set distance, either to land on or jump off to a platform. The Prince's other acrobatic abilities include climbing along and across ledges, walking along beams, swinging on and jumping from poles, jumping onto and between pillars, and swinging on ropes.[2][4][6] Large environmental puzzles are encountered during the Prince's journey, extending across multiple areas in large rooms. Many puzzles are cooperative, requiring Farah's help to complete them.[6] In combat, the Prince fights monsters created by the Sands infecting the Palace's inhabitants. A single command contextually triggers different moves depending on position and directional movement, while other special moves such as a somersault attack and bouncing off walls into enemies require additional commands. Enemies can only be killed by stabbing them with the Dagger of Time, which gathers up the Sands inside them.[2][7]
The Sands the Prince collects from enemies and the environment are tied to his magical abilities, themselves connected with the Dagger. The most basic power is Rewind, the ability for the Prince to rewind time by up to ten seconds if he makes a mistake in platforming or dies. In combat, the Prince can also slow time immediately around him, freeze time for a single enemy, and freeze time completely so the Prince can attack his enemies at great speed while they are unable to move. Each use of power uses up one Sand Tank, and when empty, all powers become inaccessible until more Sand is collected. More powerful abilities, such as freezing time, are powered by Power Tanks. Increasing their number unlocks new Sand-based powers. Starting out with a small amount of Sand available to him, its capacity can be increased by collecting Sand from enemies, along with Sand Clouds scattered around the palace. Large columns of Sand within the Palace grant visions of future areas and act as save points.[2]
The Game Boy Advance version shares basic elements with its console counterparts. Displayed from a side-scrolling view, the Prince navigates the palace of Azad using his acrobatic skills. The Rewind ability is still present to save the Prince's life, and is also involved in solving some puzzles and fighting bosses. New moves and abilities are gained by the Prince by performing moves and solving puzzles. Farah is featured as a second playable character in some sections, with switching between the two being key to some puzzles.[8] The mobile version is similarly a side-scroller, featuring simple puzzles and traps. The powers linked to the Sands are absent, but enemies must still be killed by stabbing them with the Dagger. There are three enemy types: archers, flying enemies, and foot soldiers.[9]
"
Princess Natasha: Student - Secret Agent - Princess,,2006,Frame Studios Interactive,DSI Games,"NA, PAL",NaN,NaN
Pro Mahjong Tsuwamono Advance,,2005,,Culture Brain,JP,NaN,NaN
The Proud Family,,2005,Gorilla Systems,Buena Vista Interactive,,NaN,NaN
PukuPuku Tennen Kairanban,,2002,,Victor Interactive Software,JP,NaN,NaN
PukuPuku Tennen Kairanban: Koi no Cupid Daisakusen,,2004,,Marvelous Entertainment,JP,NaN,NaN
PukuPuku Tennen Kairanban: Youkoso! Illusion Land e,,2004,,Marvelous Entertainment,JP,NaN,NaN
Punch King,,2002,Full Fat,Acclaim,"NA, PAL",NaN,NaN
Puppy Luv: Spa and Resort,,2007,Humagade,Activision,,NaN,NaN
Puyo Pop,Yes (SPM),2002,Sonic Team,THQ,"NA, PAL, JP",NaN,"Generally, the objective of Puyo Puyo games is to defeat your opponent by causing the third column from the left of their side of the screen to become filled with Puyo. Puyo are round, slime-like creatures that, in most variations of the game, fall from the top of the screen in groups of two, three, and four. The pieces can be moved, dropped, and rotated as they fall. The piece falls until it reaches another Puyo or the bottom of the screen.[1] When four or more Puyo of the same color line up adjacent to each other, the Puyo will connect to each other, ""Pop"", and disappear. Puyo of the same color can connect horizontally or vertically, but not diagonally.[citation needed]
The Puyo above those that are cleared fall onto other pieces or the bottom of the screen. Simultaneous Pops (同時消し, simultaneous erasing) are created when more than one group is formed at a time.[citation needed]
A Chain is made when falling Puyo cause a new group of Puyo to Pop, making a chain reaction. When a Chain is achieved, Nuisance Puyo, or Ojama Puyo (お邪魔ぷよ, hindrance Puyo) are sent to either clog the opponent's screen or to cancel out (offset, 相殺) the Nuisance Puyo sent by the opponent. Nuisance Puyo are translucent pieces that disappear when Puyo are popped next to them. If multiple groups of Puyo are cleared in succession due to a chain, the amount of Nuisance Puyo will increase based solely on the number of steps in the chain. Nuisance Puyo are cached above the opponent's playing field, and do not fall until the attacker's chain concludes, and then the defender puts down a piece. Nuisance Puyo block the opponents' playing fields, and can cause them to lose if one is placed the third spot from the left in the top row.[citation needed]
"
Puyo Pop Fever|Puyo Puyo FeverJP,Yes (SPM),2004,Sonic Team,Sega,"PAL, JP","Ms. Accord, a teacher at the Primp Magic School, has lost her Flying Cane, the equivalent of a magic wand, and claims to have a reward for the student who can find it. The player plays the role of either Amitie or Raffine, students at the school, as they venture across the Puyo Pop Fever world to find the cane, while meeting many wacky characters along the way and battling them. Raffine's course contains more difficult gameplay and alters the characters the player meets, as well as which character actually finds the wand. When playing as Raffine near to the end of the game, it is revealed that Accord never actually lost her flying cane. Raffine then plans on revealing her and Popoi's secret, but fails in her ending, as she is knocked unconscious by Ms. Accord, losing all memories of the flying cane incident. She regains consciousness near her school where Amitie and her friends congratulate her.
","The basic game mechanics are mainly similar to those of Puyo Puyo: the player has a 6x12 board, and must decide where to place incoming groups of variously-colored blobs, or puyo. After placing each set of puyo, any groups of four or more of the same colored adjacent puyo will pop. Any above will fall down and can form more groups for a chain reaction.
Each time groups of puyo pop, the player will score points and send ""trash"" (aka ""garbage"" and ""nuisance"") to their opponent. Garbage temporarily gets stored in a bar above the playfield, represented by symbols and warning the player of an incoming amount of garbage. These trash puyo are colorless and will only pop when puyo next to them do so, rather than in groups as normal. These will only fall if the player fails to make a chain, and trash falls in groups of 30 (one rock) at a time.  When a player's board fills up, either if they cannot make groups or if they are sent a large amount of trash (usually the latter), they lose and the other player will win.
A new addition to the game mechanics is Fever mode. Fever mode occurs when a bar in the middle of the screen is filled up. To fill the bar, one must offset (or counterattack) the trash being sent to the field by the opponent. Every chain, which is a single popping of puyo, will fill one space in the fever meter until it is full, which is when fever activates. In fever mode, a pre-designed chain will fall onto an empty field. In a limited amount of time, one must find a trigger point in the puzzle, which will cause a large chain to go off and attack the opponent. Once a chain is made, another puzzle falls, bigger and more complicated than the previous one. This keeps occurring until time runs out, then it returns the player to their original field.
The Nintendo DS version supports 2 to 8 players, as opposed to the others which only support 2 or 4. In this mode, one can play as any available character.
There is also an endless mode, where one can practice fever mode, complete small tasks as they are given, or play the original game. However, the grid and all clear rules remain the same as they do in fever, so it's not exactly classic.
"
Pyuu to Fuku! Jaguar: Byuu to Deru! Megane-Kun,,2004,Intense,Konami,JP,"The story starts out with Kiyohiko ""Piyohiko"" Saketome trying to take a band audition. In his way he sees a strange man named Jaguar carrying a big case, which turns out to be holding only a small recorder. Piyohiko tries not to get distracted by him but fails, because when Jaguar plays his recorder, the most beautiful, passionate guitar-like sound comes out of it. He tries more and more record companies, but every time he meets Jaguar and somehow manages to miss his audition. Finally, Piyohiko gets accepted at a record company only to find at his new dorm that he is roommates with Jaguar. Jaguar becomes a teacher and sets up a recorder class at their music school, and Piyohiko ends up in that class instead of the guitar class he wanted...
",NaN
Quad Desert Fury,No,2003,Skyworks Technologies,Majesco Sales,,NaN,NaN
R-Type III: The Third Lightning,,2004,Raylight Studios,Destination Software,"NA, PAL",NaN,"R-Type III: The Third Lightning was the first game in the series to introduce new Forces. As well as the original Force (which was now named the Round Force, later named as the Standard Force in R-Type Delta), the player could choose from two other Forces: the Shadow Force and the Cyclone Force. These both had new, different weapon sets and special enhancements.
It also refined the weapons and charging system. It reverted to the original red-blue-yellow weapon system, and the Diffusion Wave Cannon from R-Type II was replaced with a more standard wave cannon. Charging this cannon to full beam strength results in a massive, powerful beam that passes through all enemies and obstacles.
A new weapon called the Hyper Wave Cannon was also added to the ship, which the player could use instead of the normal wave cannon if desired. By switching to Hyper mode and supercharging the wave cannon, the ship temporarily gains the ability to use the Hyper Wave Cannon, which is unique among wave cannons in having a rapid fire capability. The shots fired create damaging explosions, and if the player has collected one or two Bits, they spin around the ship burning with energy. However, this Hyper mode causes the ship to overheat after a short while, and it must subsequently spend seconds cooling down, during which time the wave cannon is inoperative.
The fighter in R-Type III is identified in R-Type Final as the R-9Ø Ragnarök; it was originally referred to as the 'R-90'. In fact, the original R-90 has been split into three in Final: the R-9S Strike Bomber has the R-90's basic Standard force unit and first wave cannon, identified as the Mega Wave Cannon. Final's version of the R-90 has the Shadow Force and Hyper Wave Cannon, but is unable to choose its Force or switch between Wave Cannons. Finally, the R-9Ø2 Ragnarok II has the R-90's final Force, the Cyclone Force, and the Giga Wave Cannon, which can be charged through 7 loops. It can be assumed that this is because the original R-90 would simply be too powerful for the game to be any kind of challenge.
"
Racing Fever,,2005,Naps Team,Neko Entertainment,PAL,NaN,NaN
Racing Gears Advance,,2005,"Orbital Media, Inc.","Orbital Media, Inc.","NA, PAL",NaN,NaN
Rampage Puzzle Attack,Yes (SPM),2001,Ninai Games,Midway,"NA, PAL",NaN,"Gameplay-wise, the game is similar to Ninai's earlier games in the Drop Mania series and Super Puzzle Fighter II Turbo.
The basic idea is that the player drops two colored blocks at a time to the playfield. The blocks then merge into contiguous areas. When the player drops a flashing ""detoblock"" of matching color to touch the area, the entire area is removed and scored. This can lead to chains and combos, and to higher scores.
The game includes a single- and two-player modes. The following modes are available in single-player:
Two-player modes include Rescue mode, Score mode (competition for higher score) and Attack mode.
"
Rapala Pro Fishing,,20042005,Torus Games,Activision Value,"NA, PAL",NaN,NaN
Ratatouille,,2007,Helixe,THQ,"NA, PAL","Similar to the plot of the movie, the game starts in a farm setting. Remy goes off with his brother Emile to retrieve apple cores for his father. On the road trip he is taught the basic skills he will need to know so that he can pass what he will face later on. After the task, the old lady living in the farm catches Remy and Emile, alerting the colony, thus forcing them to escape. Though Remy successfully escapes the shotgun-wielding woman, he gets lost in the rapids of the sewers, and he wakes up in front of Gusteau's restaurant, where the rat watches as the garbage boy, Linguini, attempts to fix the soup he accidentally ruined by throwing in a bunch of random ingredients. Remy hurries in and fixes the soup, but Linguini spots him, thus beginning a chase outside with Linguini on pursuit. After that, Remy befriends Linguini and helps him with what he is forced to do for Skinner, the head chef. The next day Remy helps Linguini cook the food for the customers while also helping his colony that he has reunited with by stealing the kitchen's food. Skinner catches Remy, and another chase begins, ending with Remy discovering a letter that proves Linguini's right to inherit the restaurant, leading to Skinner's firing.
Later, Remy helps his colony steal prized foods at the market. After that, the food critic Anton Ego, also known as the ""Grim Eater,"" has arrived at Gusteau's for a review; one that will be important to the cooks. However, with the exception of Linguini and the rôtisseuse Colette, they all leave after finding out about Remy. Now it is up to Remy, his rat colony, Linguini, and Colette to cook for many people, including the critic Ego. Remy decides to cook Ratatouille for the night, impressing Ego. Skinner, furious by the food's delicacy, chases Remy throughout the Gusteau's restaurant, wrecking it in the process. While Remy manages to escape from Skinner (who is later crushed accidentally by the chandelier), the restaurant's credibility is lost due to the revelation of the rat colony's existence and is forced to close down. However, with Ego's funding, Linguini and Colette manage to open a bistro called ""La Ratatouille"" with Remy as its head chef.
",NaN
Rave Master: Special Attack Force|Groove Adventure Rave: Hikari to Yami no Daikessen 2 JP,,2002JP2005NA,KCEJ,Konami,"NA, JP","In 0015, the world is corrupted by Dark Bring, dark stones that bestow powerful magic with different abilities to their owners. The Dark Brings are used by the Raregroove Kingdom, and the Symphonia Kingdom fight against them with their five powerful Rave stones. Shiba Roses, the Rave Master, attempts to destroy Sinclaire, the ""mother"" of all of the Dark Brings, with the Ten Commandments sword. However, the aftermath causes a massive explosion known as Overdrive, destroying one-tenth of the known world. Shiba, protected from the disaster by his special guardian ""dog"" Plue, holds onto the Rave required to power his sword. Plue and the four remaining Raves, however, get scattered around the world.
Fifty years later, sixteen-year-old Haru Glory lives on the peaceful Garage Island with his older sister, Cattleya. Shortly after Haru accidentally fishes Plue up, Shiba arrives wishing to reclaim Plue, but a group of terrorists from the Demon Card organization appear to kill Shiba. Shiba tells Haru that he is the second Rave Master, entrusting the Ten Commandments, Plue, and his Rave to him. Seeking power to defeat Demon Card, Haru and Plue set off on a journey to find the missing Rave stones. Upon arriving at the mainland, Haru befriends a girl named Elie, who has no recollection of her past. During their journey, Haru encounters enemies from Demon Card who eventually become his allies, including Shuda and Sieg Hart. Haru later meets a diverse group of allies, including Hamrio Musica, grandson of a blacksmith; Let Dahaka and Julia, two who appear human but are in fact of the Dragon Race; Griffon Kato, a strange blue creature and Plue's friend; Ruby, a penguin and a casino owner; Belnika, a mage; and Niebel, Sieg's close friend. He also encounters Gale ""King"" Raregroove, the king of the Raregroove Kingdom and leader of Demon Card. On the Tower of Din, Haru reunites with his absent father Gale Glory to defeat King and end Demon Card. Although they win, Gale sacrifices himself to save his son from Din's destruction.
Some time later, King's son, Lucia, appears and revives Demon Card. He wishes to capture Elie to use the magical energy known as Etherion hidden within her body. While facing Lucia and his forces, Haru's group also learn of the mythical creature known as Endless, which threatens mankind by provoking another Overdrive and can only be destroyed with Etherion. Using all Sinclaires, Lucia absorbs Endless. Lucia's objective is to destroy the world, which is actually a parallel dimension created by his ancestor with Etherion after the original was ruined by a plague and his family was cursed as a result. After Haru finds all of the Raves, Elie uses Etherion to combine them. In order to avoid another Overdrive, Haru and his friends oppose Lucia and his strongest enemies in the Star Memory. Although Haru defeats Lucia, he is absorbed by Endless and convinces Elie to destroy it even if it means taking his life. One year later, Elie has lost her memories of Haru, and she and the others visit his grave. Haru appears alive thanks to the Star Memory's magic and reunites with Elie, who then remembers him. The warriors go their separate ways, and Haru and Elie return to Garage Island to live together.
",NaN
Rayman 3,Yes (SPM),2003,Ubisoft,Ubisoft,"NA, PAL","One night, a Black Lum, who was supposedly said to have grown out of pure evil, named André appears, and transforms other Red Lums into Black Lums to join him. The group eventually gains enough hair from various animals throughout the forest to dress themselves as scarecrow-like Hoodlums. In the middle of the process, Murfy, one of the residents and workers of the Fairy Council, discovers them. André later discovers him hiding nearby, and he and his Black Lums pursue him. Murfy is chased to a small clearing, where Rayman and his friend Globox are sound asleep. Just after Murfy reaches them, Globox is awakened by the commotion. Now aware of the situation, Globox helps Murfy to try and get Rayman, who is still asleep, to safety. In the process, Globox accidentally removes Rayman's hands, forcing Murfy to pick Rayman up by his hair and fly him away from the clearing himself. In an attempt to save himself, Globox runs away to safety, taking Rayman's hands along with him.
As time passes, more and more Hoodlums invade the forest. After Rayman wakes up, he and Murfy reach the entrance to the Council and discover Globox hiding in a barrel. Just as Rayman gets his hands back from Globox, André and a few of his minions appear, following Globox as he flees into the Council. As Rayman and Murfy pursue them, they learn of André's evil plan: to taint the heart of the world so that he can create an army of Hoodlums. Eventually, André catches up with Globox, who ends up accidentally swallowing the evil creature. Afterwards, Rayman attempts to seek out a doctor that can rid André from Globox's insides and Murfy departs from the team, warning Rayman the Black Lum may force Globox to drink plum juice, in spite of the latter's allergy to it. Rayman meets up with three doctors: Otto Psi (a play on the word autopsy), Romeo Patti (homeopathy), and Art Rytus (arthritis). After all three doctors make independent attempts at purging André by using various parts of Globox's body as musical instruments, they succeed in getting rid of him after collaborating in Art Rytus' clinic room. Refusing to admit defeat, André teams up with Reflux, a member of the Knaaren race that Rayman had previously defeated.
Reflux steals the scepter of the Leptys – a god worshiped by his people – from the child king of the Knaaren and uses it to increase his power, which in turn will allow Andre to infinitely reproduce.  With Globox's help, Rayman climbs to the top of the Tower of the Leptys and faces Reflux and André as the former transforms into a giant winged monster.  After a prolonged battle, Rayman and Globox destroy Reflux and Rayman turns André back into a Red Lum which results in all the Black Lums turning back into Red Lums.  Shortly thereafter, Rayman and Globox return to the clearing that they were in before. Before they resume their nap, Globox admits that he misses André and would like him back, but Rayman says that's not a good idea and that he doesn't know how. Globox says that a Red Lum has to be scared to be a Black Lum to which Rayman replies that he would hate to imagine what could scare a Lum.  A flashback to before the beginning of the game reveals that Rayman unwittingly created André when his hands went off on their own and scared a Red Lum with frightening shadow puppets.
","Rayman's controls are similar to that of Rayman 2: The Great Escape, albeit utilising long-ranged punches (and kicks at some opportunities), instead of throwing Energy Spheres. Instead of permanent upgrades to his abilities, Rayman can now find special ""Laser Detergent"" cans (used by the Hoodlums to turn their clothes into combat fatigues) containing one of five temporary power-ups. The Vortex allows Rayman to fire mini-tornadoes instead of punching, the Heavy Metal Fist increases Rayman's strength and allows him to break down certain doors, the Lockjaw gives Rayman extendable claw weapons that can be used to latch onto and electrocute enemies or swing across gaps, the Shock Rocket allows Rayman to fire a remote controlled missile, and the Throttle Copter provides Rayman with a special helmet that allows him to fly vertically for a limited time.
Unlike most entries, Rayman 3 features a scoring system that tallies points based on Rayman's actions. Whenever points are scored, the system switches to a ""Combo mode"" that adds even more points acquired from such actions, though if the player's scoring stops after a few seconds, the Combo mode ends as well. If using a power-up acquired from a Laser Detergent, points earned are doubled. Points earned can unlock hidden content and, in some levels, allow access to hidden areas.
"
Rayman 10th Anniversary,Rayman Advance: No Rayman 3: Yes (SPM),"2005PAL , NA",Ubisoft,Ubisoft,"NA, PAL",NaN,NaN
Rayman Advance,No,2001,Digital Eclipse,Ubisoft,"NA, PAL","In the planet in which Rayman lives, people are harmonious thanks to the Great Protoon. However one day, the evil Mr. Dark steals the Protoon, leading to the Electoons, other beings that maintain harmony on Rayman's planet, to scatter all over the world. Betilla the Fairy battled Mr. Dark to get back the Protoon and Electoons, but in vain. So Rayman decides to go and retrieve the Electoons and Protoon and defeat Mr. Dark.[3] Betilla the Fairy, a guardian of the Great Protoon, frequently interacts with Rayman as needed to give him additional magical powers along his journey.
Rayman begins his journey in the Dream Forest, one of the six lands of the valley. He begins with the ability to telescopically punch enemies until Betilla gives him the ability to hang onto ledges. He encounters a kindly local named Tarayzan, who hands over an instantly-sprouting magic seed to help him escape a rising flood. At the end of the Dream Forest, Rayman defeats the first of the game's six bosses, the giant Moskito.[4] Betilla then gives Rayman the power to swing from flying hoops. Rayman arrives in Band Land, a world built around clouds and musical notes, symbols, and instruments. He is chased by Mr. Sax, a giant angry saxophone.[4] Betilla grants Rayman the power to spin his hair like a helicopter for gliding. After defeating Mr. Sax, Rayman progresses through the Blue Mountains, a world of avalanches and rock monsters. He meets the family of musician friend and helps him build a new guitar in exchange for a potion that lets Rayman fly continually using his helicopter hair. Rayman defeats Mr. Stone,[4] and Betilla gives him the ability to run. Picture City, the fourth land, is a world of paintings and art utensils, including slippery ink floors and deadly sharp pencils. Rayman makes his way through to arrive on the stage of a pirate-themed play, where a vicious actress in a Viking costume emerges from the ship's cannon and hurls knives at him. Later, Rayman again encounters this actress who turns out to be the area's boss, Space Mama,[4] in an astronaut costume. Following her defeat, Rayman learns that Mr. Dark has kidnapped Betilla and imprisoned her in one of the little spheres attached to his hat.
Rayman reaches the fifth land, the Caves of Skops, a cave world ruled by Mr. Skops, a giant scorpion. Before he enters he meets Joe, a friendly extraterrestrial, who owns a snack bar whose electric lights have gone out. Joe gives Rayman a firefly to light his way through the cave to reinsert a plug that has fallen out, restoring power to his bar. After crossing a lake and through the caves, Rayman reaches the lair of Mr. Skops and defeats him.[4] After he rescues all of the Electoons, Rayman arrives at the final land, Candy Chateau, made of desserts and crockery. At the end, he faces Mr. Dark[4] who attacks with various disorienting spells. Rayman arrives in the chateau's hall, where Mr. Dark traps him with walls of fire. At the last moment, Electoons retrieve Rayman's ability to punch after Mr. Dark disables it. At this point Mr. Dark (probably using the power of the Great Protoon and Betilla) transforms himself into hybrids of the previous bosses to defeat Rayman. Upon the defeat of the hybrids, Rayman rescues Betilla and recovers the Great Protoon, thus restoring balance to his world. Rayman then takes a vacation with friends and former enemies.
","Rayman is a side-scrolling platform game. The player character is the titular Rayman, who must travel through six worlds (The Dream Forest, Band Land, Blue Mountains, Picture City, The Caves of Skops and Candy Château) to free all of the caged Electoons, six cages of whom are located somewhere on each level. Only when all the Electoons are freed will Rayman be able to reach and confront Mr Dark at his lair in Candy Château. Each level is divided into several maps, each of which is completed when Rayman reaches the ""!"" sign at the end. The player is given a certain number of lives, which are lost when Rayman takes too many hits or falls into water or a pit. If all lives are lost at any point, the ""Game Over"" screen will appear, and the player can continue or quit. Scattered around each level are small, sparkling blue spheres called Tings. The player gains an extra life for every 100 Tings picked up (50 in the DSi version). If the player loses a life, any Tings collected are lost. Tings can also be used to pay the Magician, a character found in certain levels, to enter a bonus stage, where Rayman can win an extra life. Rayman's ""telescopic fist"", an ability gained early in the game, allows him to punch enemies from a distance; most enemies can be defeated with a certain number of punches. At the end of each world, Rayman must defeat a boss enemy. The player comes across a variety of other power-ups and bonuses, such as a golden fist (which increases punch strength), a speed fist (which increases the speed of Rayman's punches), a power to restore Rayman's lost life energy, and flying blue elves whose touch shrinks Rayman down in size so he may access new areas.
In early stages of the game, Rayman has the ability to walk, crawl and make silly faces. He obtains additional powers during the game (telescopic punching, holding onto ledges, grappling flying rings, using his hair as helicopter blades to glide, and running) from Betilla the Fairy, while others are given temporarily from his friends that are used for a specific levels only.
"
Rayman: Hoodlum's RevengeNA|Rayman: Hoodlums' RevengePAL,No,2005,Backbone Entertainment,Ubisoft,"NA, PAL","The games begins with Rayman and Globox sleeping in the forest, when Globox's dreams are disturbed by the memory of him swallowing the Black Lum André. He is awakened by a strange sound, and goes off to search for its source (it is possible he was captured by the Hoodlums, since he is later seen in the Bog of Murk, seemingly trapped). Later, Rayman wakes up to find his pal missing, and goes off to look for Globox.
As he journeys onward, Rayman is told by Murfy that the Hoodlums are trying to clone Reflux: the other main rival of Rayman 3, and that the clone is plum juice-powered. Before he finally meets up with Globox, he must destroy the Infernal Machine, which basically makes the potent plum juice.
Meanwhile, in the Bog of Murk, Globox is unknowingly being slowly taken over by André, and this is apparent by Globox's sudden mood swings in which he becomes condescending, aggressive, and just plain mean. Later, when he escapes from prison and reunites with Rayman, Andre often insults Rayman or the feeble attempts of the Hoodlums (""meddlesome loser"" and ""Lame-man"" are some of the jeers he throws at Rayman). However Rayman, unused to Globox being a jerk, or smart in any way, simply does not hear most of it, though at one point he asks Globox if he was hit in the head.
As they continue through the lands they must save the Teensies and defeat a couple of bosses. In the Pit of Endless Fire, after the defeat of the Firemonster, Andre takes full control of Globox and announces his return.
When Rayman finally encounters the cloned Reflux, that uses Globox, body, and defeats him, an unconscious Globox appears as Andre's black spirit flutters away through Globox's mouth, and he awakes his full self, even asking if he missed breakfast. The story ends with the pair walking off into the forest.
","This game is the first Rayman game to be of an isometric platformer, instead of being either a fully 3D or 2D platformer. Most of the levels put the player in control of Rayman, while other levels put the player in control of his partner, Globox. In certain levels, the player is able to control both of them in the same level by pressing the Select button to switch the characters.
The goal of each level is to get to the end and gain the maximum number of points possible. To do this, the player has to collect gems and lums that are scattered throughout the levels. Also, freeing Teensies and defeating enemies gives the player points. At the end of the level, the player earns Murfy stamps, based on their score. Murfy stamps are not important to the completion of the game, but after getting a certain number of them, extra levels are unlocked. There is a total of five levels that can be unlocked with the acquiring of Murfy stamps.
"
